start	end	text
680	1640	Mark 3
1640	6960	Again he entered the synagogue, and a man was there with a withered hand.
7400	11320	And they watched Jesus to see whether he would heal him on the Sabbath,
11720	13200	so that they might accuse him.
13540	15800	And he said to the man with the withered hand,
16160	17080	Come here.
17660	18680	And he said to them,
19360	22620	Is it lawful on the Sabbath to do good or to do harm,
23060	24820	to save life or to kill?
25500	26880	But they were silent.
26880	29840	And he looked around at them with anger,
30120	31880	grieved at their hardness of heart,
32180	33140	and said to the man,
33900	35180	Stretch out your hand.
35920	38440	He stretched it out, and his hand was restored.
39360	44380	The Pharisees went out and immediately held counsel with the Herodians against him,
44700	45920	how to destroy him.
47540	50200	Jesus withdrew with his disciples to the sea,
50440	51800	and a great crowd followed,
52020	53340	from Galilee and Judea,
53640	55300	and Jerusalem and Injumia,
55420	56860	and from beyond the Jordan,
56880	59080	and from around Tyre and Sidon.
59800	62240	When the great crowd heard all that he was doing,
62560	63500	they came to him.
64760	67520	And he told his disciples to have a boat ready for him
67520	69620	because of the crowd, lest they crush him.
70100	71280	For he had healed many,
71600	74840	so that all who had diseases pressed around him to touch him.
75440	77500	And whenever the unclean spirits saw him,
77740	80060	they fell down before him and cried out,
80800	82480	You are the Son of God!
83340	86420	And he strictly ordered them not to make him known.
87640	91280	And he went up on the mountain and called to him those whom he desired,
91400	92360	and they came to him.
92760	95540	And he appointed twelve, whom he also named apostles,
96060	97560	so that they might be with him,
97640	99380	and he might send them out to preach,
99700	101700	and have authority to cast out demons.
102440	103900	He appointed the twelve,
104480	106360	Simon, to whom he gave the name Peter,
107080	108500	James, the son of Zebedee,
108660	110080	and John, the brother of James,
110300	112280	to whom he gave the name Boanerges,
112700	113800	that is, sons of thunder,
114300	116680	Andrew, and Philip, and Bartholomew,
116880	118580	and Matthew, and Thomas,
119000	120620	and James, the son of Alphaeus,
121000	123240	and Thaddeus, and Simon the Canaanite,
123500	126600	and Judas Iscariot, who betrayed him.
127920	130660	Then he went home, and the crowd gathered again,
130820	132380	so that they could not even eat.
133000	134760	And when his family heard it,
134880	136240	they went out to seize him,
136400	138500	for they were saying, He is out of his mind.
139000	141840	And the scribes who came down from Jerusalem were saying,
142300	144300	He is possessed by Beelzebul,
144640	146860	and by the prince of demons he casts out,
146920	147440	the demons.
148260	149680	And he called them to him,
149740	151140	and said to them in parables,
151860	154100	How can Satan cast out Satan?
154680	156760	If a kingdom is divided against itself,
157040	158600	that kingdom cannot stand.
159120	161200	And if a house is divided against itself,
161200	163180	that house will not be able to stand.
163760	166820	And if Satan has risen up against himself and is divided,
167300	169940	he cannot stand but is coming to an end.
171080	173340	But no one can enter a strong man's house
173340	174440	and plunder his goods
174440	176820	unless he first binds the strong man.
176880	179180	Then indeed he may plunder his house.
180080	181240	Truly I say to you,
181660	184000	all sins will be forgiven the children of man,
184220	185980	and whatever blasphemies they utter.
186600	188960	But whoever blasphemes against the Holy Spirit
188960	190080	never has forgiveness,
190740	192780	but is guilty of an eternal sin.
193640	194900	For they were saying,
195460	197140	He has an unclean spirit.
197840	199660	And his mother and his brothers came,
199920	202680	and standing outside they sent to him and called him.
203180	204920	And a crowd was sitting around him,
204920	206100	and they said to him,
206100	209600	Your mother and your brothers are outside seeking you.
210100	211140	And he answered them,
211800	213800	Who are my mother and my brothers?
214340	217040	And looking about at those who sat around him,
217180	217620	he said,
218320	220120	Here are my mother and my brothers.
220660	222320	For whoever does the will of God,
222440	225180	he is my brother and sister and mother.
