start	end	text
440	2240	Luke, 24
2240	6180	But on the first day of the week, at early dawn,
6500	9180	they went to the tomb, taking the spices they had prepared.
9720	12380	And they found the stone rolled away from the tomb,
12780	16180	but when they went in they did not find the body of the Lord Jesus.
17140	18980	While they were perplexed about this,
19440	22300	behold, two men stood by them in dazzling apparel.
22960	26160	And as they were frightened and bowed their faces to the ground,
26840	27940	the men said to them,
27940	31100	Why do you seek the living among the dead?
31680	33880	He is not here, but has risen.
34760	37660	Remember how he told you while he was still in Galilee,
38340	42080	that the Son of Man must be delivered into the hands of sinful men
42080	45320	and be crucified, and on the third day rise.
46180	47780	And they remembered his words,
47960	51240	and returning from the tomb they told all these things to the eleven
51240	52460	and to all the rest.
53200	56940	Now it was Mary Magdalene and Joanna and Mary the mother of James
56940	57920	and the other women of the church,
57920	60340	and the women with them who told these things to the apostles.
60900	63280	But these words seemed to them an idle tale,
63380	64680	and they did not believe them.
65840	67920	But Peter rose and ran to the tomb.
68620	71660	Stooping and looking in, he saw the linen cloths by themselves.
72460	75300	And he went home marveling at what had happened.
77000	80600	That very day two of them were going to a village named Emmaus,
80980	82640	about seven miles from Jerusalem,
83080	86440	and they were talking with each other about all these things that had happened.
87040	87900	While they were talking,
87900	91760	Talking and discussing together, Jesus himself drew near and went with them.
92400	94800	But their eyes were kept from recognizing him.
95340	96300	And he said to them,
97040	101600	What is this conversation that you are holding with each other as you walk?
101920	104180	And they stood still looking sad.
104940	107520	Then one of them, named Cleopas, answered him,
107760	113800	Are you the only visitor to Jerusalem who does not know the things that have happened there in these days?
114140	115520	And he said to them,
116240	117200	What things?
117900	119220	And they said to him,
119920	126800	Concerning Jesus of Nazareth, a man who was a prophet mighty in deed and word before God and all the people,
127260	132920	and how our chief priests and rulers delivered him up to be condemned to death and crucified him.
133600	136820	But we had hoped that he was the one to redeem Israel.
137560	142460	Yes, and besides all this, it is now the third day since these things happened.
143240	146400	Moreover, some women of our company amazed us.
146860	147680	They were at the tomb.
147680	151480	They were at the tomb early in the morning, and when they did not find his body, they came back,
151820	155920	saying that they had even seen a vision of angels who said that he was alive.
156440	160700	Some of those who were with us went to the tomb and found it just as the women had said.
161560	163560	But him they did not see.
164260	165280	And he said to them,
166080	171400	O foolish ones, and slow of heart to believe all that the prophets have spoken.
171920	175980	Was it not necessary that the Christ should suffer these things,
176560	177660	and enter into his kingdom,
177660	178140	and enter into his glory?
178960	181340	And beginning with Moses and all the prophets,
181560	185540	he interpreted to them in all the scriptures the things concerning himself.
186160	188820	So they drew near to the village to which they were going.
189520	191740	He acted as if he were going farther.
192480	194520	But they urged him strongly, saying,
195400	200120	Stay with us, for it is toward evening, and the day is now far spent.
200880	202620	So he went in to stay with them.
203320	207040	When he was at table with them, he took the bread and blessed and broke it,
207040	207640	and gave it to them.
207660	211260	And their eyes were opened, and they recognized him,
211360	212740	and he vanished from their sight.
213520	214820	They said to each other,
215500	219300	Did not our hearts burn within us while he talked to us on the road,
219880	222020	while he opened to us the scriptures?
222840	226120	And they rose that same hour and returned to Jerusalem.
226600	230680	And they found the eleven and those who were with them gathered together, saying,
231200	234780	The Lord has risen indeed, and has appeared to Simon.
234780	237640	Then they told what had happened on the road,
237660	240780	and how he was known to them in the breaking of the bread.
241320	243240	As they were talking about these things,
243740	247080	Jesus himself stood among them, and said to them,
247500	248940	Peace to you.
249580	252720	But they were startled and frightened, and thought they saw a spirit.
253440	254400	And he said to them,
255080	256180	Why are you troubled?
256820	259360	And why do doubts arise in your hearts?
260080	264040	See my hands and my feet, that it is I myself.
264600	266020	Touch me, and see.
266020	266100	See.
266500	267640	For a spirit does not know.
267660	270860	A spirit does not have flesh and bones, as you see that I have.
271520	274900	And when he had said this, he showed them his hands and his feet.
275460	279880	And while they still disbelieved for joy and were marveling, he said to them,
280320	282420	Have you anything here to eat?
283040	287240	They gave him a piece of broiled fish, and he took it and ate before them.
287900	288980	Then he said to them,
289820	293340	These are my words that I spoke to you while I was still with you,
293620	297400	that everything written about me in the law of Moses and the prophets,
297660	299760	and the Psalms must be fulfilled.
300600	304280	Then he opened their minds to understand the Scriptures, and said to them,
305020	308180	Thus it is written, that the Christ should suffer,
308520	310980	and on the third day rise from the dead,
311380	315580	and that repentance and forgiveness of sin should be proclaimed in his name
315580	318820	to all nations, beginning from Jerusalem.
319420	321860	You are witnesses of these things.
321860	326640	And behold, I am sending the promise of my Father upon you.
327220	327640	But still,
327660	331040	stay in the city until you are clothed with power from on high.
331400	336160	Then he led them out as far as Bethany, and lifting up his hands, he blessed them.
337040	340880	While he blessed them, he parted from them and was carried up into heaven.
341600	345500	And they worshipped him and returned to Jerusalem with great joy
345500	348620	and were continually in the temple blessing God.
