start	end	text
0	13880	luke two in those days a decree went out from caesar augustus that all the world should be registered this was the first registration when quirinius was governor of syria
13880	26140	and all went to be registered each to his own town and joseph also went up from galilee from the town of nazareth to judea to the city of david which is called bethlehem
26140	37400	because he was of the house and lineage of david to be registered with mary his betrothed who was with child and while they were there the time came for her to give birth
37400	43860	and she gave birth to her firstborn son and wrapped him in swaddling cloths and laid him in a manger
43860	52400	because there was no place for them in the inn and in the same region there were shepherds out in the field keeping watch over their flock by night
52400	62340	and an angel of the lord appeared to them and the glory of the lord shone around them and they were filled with fear and the angel said to them
63000	70200	fear not for behold i bring you good news of great joy that will be for all the people
70200	73840	for unto you is born this day in the city of
73860	82440	david a savior who is christ the lord and this will be a sign for you you will find a baby
82440	89660	wrapped in swaddling cloths and lying in a manger and suddenly there was with the angel a multitude
89660	97520	of the heavenly host praising god and saying glory to god in the highest and on earth peace
97520	103840	among those with whom he is pleased when the angels went away from them into heaven the shepherds
103840	108820	said to one another let us go over to bethlehem and see this thing that has happened which the
108820	114000	lord has made known to us and they went with haste and found mary and joseph and the baby
114000	119900	lying in a manger and when they saw it they made known the saying that had been told them
119900	125120	concerning this child and all who heard it wondered at what the shepherds told them
125120	131540	but mary treasured up all these things pondering them in her heart and the shepherds returned
131540	133540	glorifying and praising god
133840	140160	for all they had heard and seen as it had been told them and at the end of eight days when he
140160	145820	was circumcised he was called jesus the name given by the angel before he was conceived in the womb
145820	151380	and when the time came for their purification according to the law of moses they brought him
151380	158140	up to jerusalem to present him to the lord as it is written in the law of the lord every male who
158140	163540	first opens the womb shall be called holy to the lord and to offer a
163840	169880	sacrifice according to what is said in the law of the lord a pair of turtle doves or two young
169880	175840	pigeons now there was a man in jerusalem whose name was simeon and this man was righteous and
175840	182520	devout waiting for the consolation of israel and the holy spirit was upon him and it had been
182520	188700	revealed to him by the holy spirit that he would not see death before he had seen the lord's christ
188700	193700	and he came in the spirit into the temple and when the parents brought in the child
193840	199840	jesus to do for him according to the custom of the law he took him up in his arms and blessed
199840	208660	god and said lord now you're letting your servant depart in peace according to your word for my eyes
208660	214960	have seen your salvation that you have prepared in the presence of all peoples a light for
214960	223320	revelation to the gentiles and for glory to your people israel and his father and his mother marveled
223840	232060	said about him and simeon blessed them and said to marry his mother behold this child is appointed
232060	240480	for the fall and rising of many in israel and for a sign that is opposed and a sword will pierce
240480	248580	through your own soul also so that thoughts from many hearts may be revealed and there was a
248580	252520	prophetess anna the daughter of funuel of the tribe of asher
253840	264180	she was a virgin and then as a widow until she was eighty-four she did not depart from the temple
264180	270580	worshiping with fasting and prayer night and day and coming up at that very hour she began to give
270580	275880	thanks to god and to speak of him to all who were waiting for the redemption of jerusalem
275880	283040	and when they had performed everything according to the law of the lord they returned into galilee
283040	283820	to their own home and to their own home and to their own home and to their own home and to their
283840	284560	own
292500	296680	are
296680	303340	and when he was twelve years old they went up according to custom and when the feast was ended
303340	309260	as they were returning the boy jesus stayed behind in jerusalem his parents did not know it
309260	313820	but supposing him to be in the group they went a day's journey but then they went to the temple
313840	316840	they began to search for him among their relatives and acquaintances.
317480	319020	And when they did not find him,
319420	322060	they returned to Jerusalem searching for him.
323240	325720	After three days they found him in the temple,
326160	327300	sitting among the teachers,
327820	329840	listening to them and asking them questions.
330640	332820	And all who heard him were amazed
332820	335360	at his understanding and his answers.
336060	337740	And when his parents saw him,
338120	339180	they were astonished.
339580	341100	And his mother said to him,
341100	344080	Son, why have you treated us so?
344640	348080	Behold, your father and I have been searching for you in great distress.
349100	350100	And he said to them,
350500	352260	Why were you looking for me?
352560	355340	Did you not know that I must be in my father's house?
355900	359340	And they did not understand the saying that he spoke to them.
359780	362380	And he went down with them and came to Nazareth
362380	363960	and was submissive to them.
364460	367720	And his mother treasured up all these things in her heart.
368140	370720	And Jesus increased in wisdom and in statutes,
371100	374120	and in favor with God and man.
