start	end	text
960	2080	Matthew 14
2080	8620	At that time Herod the Tetrarch heard about the fame of Jesus, and he said to his servants,
9460	17680	This is John the Baptist. He has been raised from the dead. That is why these miraculous powers are at work in him.
18320	24500	For Herod had seized John and bound him and put him in prison for the sake of Herodias, his brother Philip's wife,
24840	27040	because John had been saying to him,
27040	29800	It is not lawful for you to have her.
31320	36360	And though he wanted to put him to death, he feared the people because they held him to be a prophet.
37140	42740	But when Herod's birthday came, the daughter of Herodias danced before the company and pleased Herod,
43040	47760	so that he promised with an oath to give her whatever she might ask.
48260	49820	Prompted by her mother, she said,
50260	54420	Give me the head of John the Baptist here on a platter.
55100	56860	And the king was sorry.
57280	61580	But because of his oaths and his guests, he commanded it to be given.
62180	64940	He sent and had John beheaded in the prison.
65420	70060	And his head was brought on a platter and given to the girl, and she brought it to her mother.
70580	74080	And his disciples came and took the body and buried it.
74540	76380	And they went and told Jesus.
77300	82640	Now when Jesus heard this, he withdrew from there in a boat to a desolate place by himself.
83260	86700	But when the crowds heard it, they followed him on foot from the towns.
87580	93240	When he went ashore, he saw a great crowd, and he had compassion on them and healed their sick.
94040	97160	Now when it was evening, the disciples came to him and said,
97940	100400	This is a desolate place, and the day is now over.
100740	104200	Send the crowds away to go into the villages and buy food for themselves.
104700	105980	But Jesus said,
106860	110240	They need not go away. You give them something to eat.
111000	111860	They said to him,
112520	115460	We have only five loaves here and two fish.
116280	117000	And he said,
117580	118800	Bring them here to me.
119540	124920	Then he ordered the crowds to sit down on the grass, and taking the five loaves and the two fish,
125580	127940	he looked up to heaven and said a blessing.
128660	133280	Then he broke the loaves and gave them to the disciples, and the disciples gave them to the crowds.
133800	136020	And they all ate and were satisfied.
136020	140800	And they took up twelve baskets full of the broken pieces left over.
141580	146360	And those who ate were about five thousand men, besides women and children.
147040	148040	And they all ate and were satisfied.
148040	154540	Immediately he made the disciples get into the boat and go before him to the other side while he dismissed the crowds.
155100	159520	And after he had dismissed the crowds, he went up on the mountain by himself to pray.
160160	162600	When evening came, he was there alone.
163020	169500	But the boat by this time was a long way from the land, beaten by the waves, for the wind was against them.
170160	175040	And in the fourth watch of the night, he came to them walking on the sea.
175680	177020	But when the disciples saw him, he said,
177020	179900	When they saw him walking on the sea, they were terrified and said,
180660	182020	It is a ghost.
182680	186400	And they cried out in fear, but immediately Jesus spoke to them, saying,
187200	191300	Take heart, it is I. Do not be afraid.
192160	193360	And Peter answered him,
194060	199740	Lord, if it is you, command me to come to you on the water.
200520	202440	He said, Come.
203060	206760	So Peter got out of the boat and walked on the water.
207020	208060	And came to Jesus.
208600	213040	But when he saw the wind, he was afraid, and beginning to sink, he cried out,
213800	216300	Lord, save me.
217240	221220	Jesus immediately reached out his hand and took hold of him, saying to him,
221920	224680	O you of little faith, why did you doubt?
225500	231920	And when they got into the boat, the wind ceased, and those in the boat worshipped him, saying,
232440	235080	Truly you are the Son of God.
235460	237000	And when they had crossed over,
237020	238600	they came to land at Gennesaret.
239080	241220	And when the men of that place recognized him,
241480	245680	they sent around to all that region and brought to him all who were sick,
246040	249420	and implored him that they might only touch the fringe of his garment.
250000	252240	And as many as touched it were made well.
