start	end	text
720	1680	Mark 7
1680	7560	Now when the Pharisees gathered to him with some of the scribes who had come from Jerusalem,
8180	12940	they saw that some of his disciples ate with hands that were defiled, that is, unwashed.
13380	17540	For the Pharisees and all the Jews do not eat unless they wash their hands,
17700	19420	holding to the tradition of the elders.
20120	23860	And when they come from the marketplace, they do not eat unless they wash.
24380	27020	And there are many other traditions that they observe,
27020	31600	such as the washing of cups and pots, and copper vessels and dining couches.
31920	34340	And the Pharisees and the scribes asked him,
35080	38880	Why do your disciples not walk according to the tradition of the elders,
39100	41660	but eat with defiled hands?
42520	43640	And he said to them,
44460	47160	Well did Isaiah prophesy of you hypocrites.
47480	52660	As it is written, this people honors me with their lips, but their heart is far from me.
52780	54940	In vain do they worship me,
55280	57000	teaching as doctrines the commandments,
57020	62240	You leave the commandment of God and hold to the tradition of men.
63040	63940	And he said to them,
64700	70260	You have a fine way of rejecting the commandment of God in order to establish your tradition.
71100	72040	For Moses said,
72480	79320	But you say,
79880	82000	If a man tells his father or his mother,
82500	86380	Whatever you would have gained from me is Corban, that is, given to God,
86380	86580	then I will give you the commandment of God.
86580	86600	And he said to them,
86600	87000	You have a fine way of rejecting the commandment of God in order to establish your tradition.
87020	90360	Then you no longer permit him to do anything for his father or mother,
90920	94920	thus making void the word of God by your tradition that you have handed down,
95260	97000	and many such things you do.
97720	100420	And he called the people to him again and said to them,
101100	103520	Hear me, all of you, and understand.
104140	108000	There is nothing outside a person that by going into him can defile him.
108380	111700	But the things that come out of a person are what defile him.
112380	114880	And when he had entered the house and left the people,
114880	117000	his disciples asked him about the people,
117000	118760	and he said to them,
119480	121640	Then are you also without understanding?
122780	127140	Do you not see that whatever goes into a person from outside cannot defile him,
127700	131340	since it enters not his heart, but his stomach, and is expelled?
132140	135280	Thus he declared all foods clean, and he said,
135980	138800	What comes out of a person is what defiles him.
139340	141920	For from within, out of the heart of man,
141920	146560	come evil thoughts, sexual immorality, theft, murder, adultery,
146560	152980	coveting, wickedness, deceit, sensuality, envy, slander, pride, foolishness.
153420	157980	All these evil things come from within, and they defile a person.
159740	164040	And from there he arose and went away to the region of Tyre and Sidon.
164740	168740	And he entered a house and did not want anyone to know, yet he could not be hidden.
169460	173500	But immediately a woman whose little daughter had an unclean spirit heard of him
173500	175640	and came and fell down at his feet.
176560	179640	Now the woman was a Gentile, a Syrophoenician by birth.
180380	183080	And she begged him to cast the demon out of her daughter.
183640	184500	And he said to her,
185280	186980	Let the children be fed first,
187420	191080	for it is not right to take the children's bread and throw it to the dogs.
191780	193320	But she answered him,
194000	199740	Yes, Lord, yet even the dogs under the table eat the children's crumbs.
200380	201860	And he said to her,
202740	204940	For this statement you may go your way.
205520	206540	The demon has left you.
207420	211720	And she went home and found the child lying in bed and the demon gone.
212920	217360	Then he returned from the region of Tyre and went through Sidon to the Sea of Galilee
217360	219000	in the region of the Decapolis.
219900	223440	And they brought to him a man who was deaf and had a speech impediment,
223780	226080	and they begged him to lay his hand on him.
226860	229080	And taking him aside from the crowd privately,
229440	233340	he put his fingers into his ears and after spitting touched his tongue.
233620	236340	And looking up to heaven he sighed and said to him,
236540	236780	And he said to him,
237660	240100	Ephatha,
240940	241640	that is,
242380	244520	be opened.
245400	249480	And his ears were opened, his tongue was released, and he spoke plainly.
249980	252420	And Jesus charged them to tell no one.
252780	255980	But the more he charged them, the more zealously they proclaimed it.
256300	258680	And they were astonished beyond measure, saying,
259400	261060	He has done all things well.
261160	263780	He even makes the deaf hear and the mute speak.
