start	end	text
0	3300	San Mateo, Kapitulo 26
3300	11540	Idinalpasin ngayon soro ni Jesus amin dagitoy abambanag, kinunanakadagiti adalan na.
12200	16380	Amuyo at wangal daw laingin sakbay ti fiesta ti Paskwa.
17500	21900	Mayawat to ti anak ti tao, tap numailan sa iti krus.
22720	25260	Naguurnong dagiti pangulwen na papadi,
25260	31220	ken dagiti panglakayan dagiti hudyo itipalasyo ni Kaifas akang atuan na padi,
31800	36940	nagtutulagan da at tiliwen as sililimid ni Jesus sa da papatayin.
37700	41780	Ditay iranrana iti fiesta, amangan rumswa tiriribok.
43220	49620	Kinunada, adda idin ni Jesus ijebitanya, itibalay ni simun ng agkukutel,
49620	54800	idimadama amang mangan na pankingkwan at imay sa ababae,
55260	58800	ang nakaigirm iti sa nga butelya ang nangina abang banglo,
59320	61880	kahit imbukbuk na iti ulo ni Jesus.
62580	68060	Nakapuntot dagiti adalan, idimakita da ti inarabin na, kat kinunada.
68840	70600	Apay asinayang nati bang banglo,
71560	75460	nangina kumati pakailakwan na sa maitad ti kwarta kadagiti na panglaw.
75800	80320	Amo ni Jesus tisa sa uwan da, iso akinunana kadakwada,
81020	83420	apay ababalawin niyo dati ababae,
83420	86820	na saya at unay ti inarabin na kanya.
87760	91280	Takan ka nayon nga adadagiti na panglaw itiden nayo,
92160	95460	ngam saan akan ka nayon nga addaak itiarpadyo.
96700	101820	Imbukbuk na itibagik da ito'y abang banglo, tap no isagananak amaitanem.
103200	105200	Kinapudnuna, kunak kada kayo.
106600	110500	Sa di naman apakaikas kasabaan da ito'y naimbag adamag,
111520	113400	masarsaritan to ti inaramit na kanya.
113400	117360	Kami daytoy ababay, apakalaglagipan kenkwana.
118000	128900	Kalpasan daytoy, may sa kadagiti sangapulo kitdwa ng adalan na agnagan iti Hudas Iskariyote tinapan kadagiti Panguluan dagiti papadi.
129620	132680	Anya titad yukanyak nuyawat ko ni Jesus kada kayo?
133100	137440	Kinunana, inikanda iti talupulo abagit tipirak.
137440	144460	Manipod itidaita ka nito, binibirok ni Judas tigundaway na amang lipot kinehesus.
145220	153220	Itumunang aldaw tifiesta titinapay ng awanlibadura na napandagitiadalan kinehesus kit sinaludsodda.
