start	end	text
0	3260	San Matthew, Kapitulo 13
30000	59980	Kapitulo 13
60000	89980	Kapitulo 13
90000	119980	Kapitulo 13
120000	149980	Kapitulo 13
150000	179980	Kapitulo 13
180000	209980	Kapitulo 13
210000	239980	Kapitulo 13
240000	269980	Kapitulo 13
270000	299980	Kapitulo 13
299980	300000	Kapitulo 13
300000	329980	Kapitulo 13
329980	359960	Kapitulo 13
359980	389960	Kapitulo 13
389960	419940	Kapitulo 13
419940	449920	Kapitulo 13
449940	479920	Kapitulo 13
479940	509920	Kapitulo 13
509940	539920	Kapitulo 13
539940	569920	Kapitulo 13
569940	599920	Kapitulo 13
599940	629920	Kapitulo 13
629940	659920	Kapitulo 13
659940	689920	Kapitulo 13
689940	719920	Kapitulo 13
719940	749920	Kapitulo 13
