start	end	text
0	2960	San Lucas, Kapitulo 14
30000	31780	Iti aldaw apanaginana?
32560	38260	Ngam na gulimak da, inala ni Jesus ti tao kat pinaimbag na sana pinagawin.
38820	41220	Kalpasan na, kinunan ang kadakwada.
41980	49160	Nutimay sa kadakayo, at daanak na wen no baka na amat nag itibubon iti aldaw apanaginana.
50360	54480	Di na kadidagusan nga aunin, uray no aldaw apanaginana?
55260	58600	Awan na isungbat da kenkwa na maipapan iti daytoy.
59480	59980	Napalimak na ito.
59980	64720	Iyon ni Jesus apilyen na gitisangaili kadagiti kasayaatan apagtugawan.
65680	69600	Isotga po na asinarita na amin kadakwada daytoy apang ngarit.
89980	96780	Mabainan kanto, ket kapilitan nga agtugaw ka iti kanumuan apaginan.
97640	98820	Ngem no maawis ka?
99820	105960	Inka kit di agtugaw iti kanumuan alugar, tap no umaytuken ka tinangawis ket kunana.
107120	110960	Gayem, umay ka ijay nasaysayaat apagtugawan.
111860	116680	Itikasta, maiday dayaw kanto iti imatang dagiti sangaili.
116680	119840	Tama ipababanto ti amin amangitanok.
119980	120560	Itibagina.
121460	123680	Ket maitanok to ti amin nga agpakumbaba.
124940	127760	Kinunamot ni Jesus itinangawis kenkwa na.
128560	131920	Nuyawis mo ti may sapang aldaw, wen no pangrabi.
132640	137000	Di mo awisan dagiti gagayin mo, wen no dagiti kakabsad.
137620	140800	Kakabagyan, wen no babaknang akaarubam.
141400	142800	Taawisan da kantumet.
143560	144520	Ket itikasta.
145360	148400	Supapakan da kanto iti impaay mo kadakwada.
149180	149680	No agpadayakan.
150820	153100	Imbitaram dagiti na panglaw.
153900	155160	Dagiti lugpi.
155960	156880	Dagiti pilay.
157180	158320	Ken dagiti bulsek.
159280	160200	Nagasat kanto.
160760	161680	Tadidaka masupapakan.
163140	165280	Ngamgungunaan na kanto ti Diyos.
165780	168900	Inton agungar dagiti na linteg at at tao.
169280	175080	Nang timaysa ka dagiti na kisango kene Jesus, itipanganan daytoy apang ngarig.
175600	177040	Kinunana kene Jesus.
177820	179040	Anyan aragsak.
179040	182740	Dagiti sumangon to itipanganan. Itipagaryan ti Diyos.
183440	185260	Kinunana ni Jesus ken kuwana.
