start	end	text
0	2740	San Marcos Kapitulo 14
2740	10160	Dwa paing aldaw, dumtengin ti Paskwa ken ti Fiesta titinapay nga awan libadorana.
10920	19320	Agsapsapol dagit ipangulwen apapadi ken mamaestro itilinteg itinalimed apanang tiliw ken panang papatayda ken Jesus.
20320	24160	Dita iranrana iti Fiesta, amangan rumswa tiriribok.
24820	25420	Kinunada
25420	30520	Adda idini Jesus ijebetanya itibalay ni Simon ng agkukutil.
31420	40120	Idimadama amangmangan, dimteng ti Maysa a babae anakaygem iti sa nga Botelia a Nardo, Maysa a Nangina a Bangbanglo.
40900	45500	Binuong na ti Botelia sana imbukbok ti Bangbanglo iti ulo ni Jesus.
46500	52360	Nakapuntot ti sumagmamano at attaong addasadyay kit kinunada iti Maysa ken Maysa.
52720	54360	Apaya sinayang na ti Bangbanglo.
55420	60540	Nailako kong maitinasuro katalugasot adinaryo amaitid kadagiti na panglaw.
61140	64100	Kasta unay itipanang babalawda iti babae.
64740	65820	Ngayom kinunane Jesus.
66800	67680	Baybayan nyo.
68660	70200	Apay ababalawin nyo.
71440	73800	Nasaya at unay ti impaay na kanya.
75080	78400	Kankanayon nga addadagiti na panglaw itidenayo.
79380	82860	Ket uray anya akan ito, matulungan nyo ida.
83720	85400	Ngayom saan akan kanayon?
85420	87500	Ngayon nga addaak itiarpadyo.
88640	90260	Inaramid na ti kabailan na.
91400	95260	Sinapsapuan nantoy bagik ama isagana itipan na kaitanem.
96320	98660	Kinapudnuna kunak kada kayo.
99940	105240	Sa dinuman iti entero alubong apakaikas kasabaan to tineimbag adamag.
106580	109420	Masarsaritan to ti inaramid daytoy ababai.
110680	112760	Apakalaglagipan ken kwana.
112760	114760	Maysan ni Judas Iscariot.
115420	118280	Ati, kadagiti sa nga pulo kait dua nga adalan.
119280	124660	Napan kadagiti panguluen apapadi tap nung mangitulag ayawat ni Jesus kadakwada.
125460	130740	Naragsakanda anakang ngig itiimbagana, kait inkarida nga ikan iti kwarta.
131600	137220	Isot gapuna abinirbirukin ni Judas tigundaway na amang liput kinisus.
138140	141880	Umunahidi nga aldaw ti fiesta titinapay nga wanlibadora na
141880	144740	kait maidaton dagit urbon akarnero.
145420	146580	Pagpay iti Paskwa.
147360	149340	Sinaludso dagiti adalan ni Jesus.
155580	158580	Imbaon ni Jesus ti dua kadagiti adalan na.
159060	159560	Kinunana.
159900	161660	In kayo ija'y sudad.
162640	167320	Kat masabat yon to timay sa atao anakaawit iti sa nga karamba adanom.
168500	170580	Suruten nyo iti balay aserkan na.
171340	173440	Kat kunain yon to iti aking balay.
173440	175840	Kuna ti maestro.
176480	179440	Sa dino ti kwarto apanganan min to.
180340	183080	Kadagiti adalan iti pangrabi iti Paskwa.
184480	188760	Ipakita nanto kada kayo timay sa analawa akwarto nga aking ngato.
189820	190620	Naisagana.
191420	193640	Ganadaan kadagiti masapsapol.
194960	198080	Sadyay tipangisaganaan nyo iti pangrabi itayo.
198500	200480	Pimanaw dagiti adalan na.
201180	202320	Napanda iti syudad.
202800	203080	Kit nasarapan.
203440	205560	Nakanda amin kasimbaga ni Yesus.
206100	209580	Kit insagana dati pangrabi iti at pangrambak iti Paskwa.
210240	211140	Idirumabiin.
211760	213140	Dimteng sadyay ni Yesus.
213320	215820	Kit dagiti sangapulo kit doa nga adalan na.
216420	217800	Kabayatan tipan nang anda.
218300	219260	Kinunane Yesus.
220020	221520	Ibagak kada kayo tipudno.
222480	225480	Maisa kada kayo amakilang lang lang kanyak ita.
225980	227460	Timang lipot to kanyak.
228220	229880	Nagliday dagiti adalan na.
230440	233040	Kit maisa maisa atinagsalutsod kin kuwana.
233440	235540	Siyak ka di daytakon kunam?
236260	237520	Insumbat na Yesus.
238360	244720	Maisa kada kayo asangapulo kit doa amakisausausaw kanyak ititinapay iti malakungko.
245840	247360	Matay to ti anak ti tao.
248160	250500	Kas na isurat maipapanken kuwana.
251860	255420	Ngem kaasintupay timang lipot iti anak ti tao.
256560	257840	Naimimbag pay kuma.
258580	261500	Asaan anayan anak dayta atao.
261500	264060	Idimang manganda.
264880	266680	Nangalan ni Yesus ititinapay.
267220	269440	Kit kalpasan tipanagyaman na iti Diyos.
269960	272520	Pinisi na sana inted kada kiti adalan na.
273220	274040	Alaan nyo.
274560	275640	Kit kanin nyo.
276700	277500	Daytoy tibagik.
278700	279200	Kinunana.
279700	281460	Nangalan ni Yesus itikopa.
282120	284680	Nagyaman iti Diyos sana inyawat kadakwada.
285140	286340	Kit iminom daamin.
286860	287500	Kinunana kadakwada.
288780	290500	Daytoy titarak amamatalget.
291500	293100	Ititulag ti Diyos.
294140	295040	Tidarak.
295620	299000	Ama iparukpok na atpaay iti adu at at tao.
300220	303020	Kinapudno na kunak kada kayo.
304320	306880	Diyakto uminumin iti arak ti ubas.
307540	312280	Agingga iti daytangal daw na uminumak iti baru atubog ti ubas.
312880	314520	Itipagaryan ti Diyos.
315140	316060	Kalpasan na.
316600	318540	Nagkantada iti may sangahim no.
318540	321460	Sa darimwar anapan ijebantay ulit.
321500	323800	Kinunana ni Yesus kadakwada.
324620	325540	Dakay amin.
326420	327420	Panawan dakto.
328340	330180	Takunat ni nasantuan asurat.
331080	333420	Patayin to ti Diyos ti agpas pastor.
334120	336520	Ket mawarawaran to dagiti karnero.
338180	340600	Ngayam kalpasan ti pan nakapagungar ko.
341540	342640	Umununa akto.
343180	345660	Ngayam dakayo amapan ijay Galilea.
346360	348180	Uray pamanaw danto amin.
349020	350140	Insungbat ni Pedro.
350140	352140	Dikan to panawan.
352140	355140	Kinunana ni Yesus kenkwana.
355140	357140	Laglag ipamdaytoy.
357140	363140	Sakbay ti maikadoa pa nagtaraok ti kawitan iti daytoy arabii.
363140	366140	Namitlunton ni imbagam.
366140	368140	Adinak amam mo.
368140	371140	Uray numatayak ama iraman kenka.
371140	374140	Sipapasnek nga insungbat ni Pedro.
374140	377140	Pulos adikan to paglikudan.
377140	379140	Kastamit ti kinunadag iti daduma.
379140	387140	Dimteng ni Yesus ken dagiti adalan na, itimaysa adiso amanagan getsemani.
387140	389140	Kinunana kadakwada.
389140	391140	Agtugaw kayo ditoy.
391140	393140	Bayat ti panagkararag ko.
393140	397140	Inkuyog na da Pedro, Santiago, ken Juan.
397140	399140	Nagdanag ken nariribukan.
